Month-Year,Utility,Utility sub-region,Customer class,Supply type,customers,load,Date
10/1/19,Emera Maine,Bangor Hydro District,Medium,Standard offer customers,1035,418,10/1/19
10/1/19,Emera Maine,Bangor Hydro District,Small,CEP customers,11110,215,10/1/19
10/1/19,Emera Maine,Bangor Hydro District,Small,Standard offer customers,116501,1927,10/1/19
10/1/19,Emera Maine,Maine Public District,Small,CEP customers,399,21,10/1/19
10/1/19,Emera Maine,Maine Public District,Small,Standard offer customers,36556,646,10/1/19
10/1/19,Emera Maine,Maine Public District,Large,CEP customers,14,403,10/1/19
10/1/19,Emera Maine,Maine Public District,Large,Standard offer customers,2,1,10/1/19
9/1/19,Emera Maine,Bangor Hydro District,Large,CEP customers,32,546,9/1/19
9/1/19,Emera Maine,Bangor Hydro District,Large,Standard offer customers,18,217,9/1/19
9/1/19,Central Maine Power,N/A,Medium,CEP customers,4851,3516.338233,9/1/19
9/1/19,Central Maine Power,N/A,Medium,Standard offer customers,5964,2327.118933,9/1/19
9/1/19,Emera Maine,Maine Public District,Small,CEP customers,391,21,9/1/19
9/1/19,Emera Maine,Maine Public District,Small,Standard offer customers,35385,662,9/1/19
9/1/19,Central Maine Power,N/A,Small,CEP customers,81455,1723.625067,9/1/19
9/1/19,Central Maine Power,N/A,Small,Standard offer customers,518165,9747.0405,9/1/19
9/1/19,Emera Maine,Bangor Hydro District,Medium,CEP customers,826,743,9/1/19
9/1/19,Emera Maine,Bangor Hydro District,Medium,Standard offer customers,1050,448,9/1/19
9/1/19,Central Maine Power,N/A,Large,CEP customers,316,5311.271833,9/1/19
9/1/19,Central Maine Power,N/A,Large,Standard offer customers,41,133.8853333,9/1/19
9/1/19,Emera Maine,Maine Public District,Large,CEP customers,13,392,9/1/19
9/1/19,Emera Maine,Maine Public District,Large,Standard offer customers,3,5,9/1/19
9/1/19,Emera Maine,Bangor Hydro District,Small,CEP customers,11141,208,9/1/19
9/1/19,Emera Maine,Bangor Hydro District,Small,Standard offer customers,116972,1805,9/1/19
9/1/19,Emera Maine,Maine Public District,Medium,CEP customers,74,116,9/1/19
9/1/19,Emera Maine,Maine Public District,Medium,Standard offer customers,107,93,9/1/19
8/1/19,Central Maine Power,N/A,Large,CEP customers,358,7787.260032,8/1/19
8/1/19,Central Maine Power,N/A,Large,Standard offer customers,51,172.8300645,8/1/19
8/1/19,Emera Maine,Maine Public District,Large,CEP customers,13,401,8/1/19
8/1/19,Emera Maine,Maine Public District,Large,Standard offer customers,3,5,8/1/19
8/1/19,Emera Maine,Maine Public District,Small,CEP customers,389,20,8/1/19
8/1/19,Emera Maine,Maine Public District,Small,Standard offer customers,35394,666,8/1/19
8/1/19,Emera Maine,Maine Public District,Medium,CEP customers,74,116,8/1/19
8/1/19,Emera Maine,Maine Public District,Medium,Standard offer customers,106,88,8/1/19
8/1/19,Emera Maine,Bangor Hydro District,Medium,CEP customers,824,798,8/1/19
8/1/19,Emera Maine,Bangor Hydro District,Medium,Standard offer customers,1057,469,8/1/19
8/1/19,Emera Maine,Bangor Hydro District,Small,CEP customers,11219,223,8/1/19
8/1/19,Emera Maine,Bangor Hydro District,Small,Standard offer customers,116898,1916,8/1/19
8/1/19,Emera Maine,Bangor Hydro District,Large,CEP customers,32,712,8/1/19
