,Index,Name,Type,Link,Full URL,real_urls
252,23,"MAINELY HERBALS, INC.",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D19981011%2BD&sa=D&ust=1569253417204000&usg=AFQjCNEQCRNXwD4s9NkJzxMJNlH7EHsjIg,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19981011+D
253,24,MAINELY HERBS,ASSUMED,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20083392DC&sa=D&ust=1569253417204000&usg=AFQjCNH4HwK3j3kW5KjDlWi4NXfpTSxy8w,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20083392DC
254,25,MAINELY HOLDINGS LIMITED PARTNERSHIP,LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20090000LP&sa=D&ust=1569253417205000&usg=AFQjCNF_EzWeq3rmIdKFkLifcM3q4_py3g,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20090000LP
255,26,MAINELY HOME IMPROVEMENT,LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20100636%2BD&sa=D&ust=1569253417205000&usg=AFQjCNEHxR1DcBhBIYGXhxtRTnAxKp0hLg,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20100636+D
256,27,MAINELY HOME REPAIRS,MARK,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm%3D20110124%2BM&sa=D&ust=1569253417206000&usg=AFQjCNFTShCopqVADcKcfw6Js-AgL45hiQ,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20110124+M
257,28,"MAINELY HOMES & FARMS, LLC",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20060391DC&sa=D&ust=1569253417206000&usg=AFQjCNHEp6vtoxEUGYG3S3dfyvqTmd6asQ,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20060391DC
258,29,MAINELY HOMES LLC,LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20161719DC&sa=D&ust=1569253417207000&usg=AFQjCNH1X5YZ8k1vEWV7dgFj3OYT-l2hqw,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20161719DC
259,30,"MAINELY HOMES, INC.",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D19872522%2BD&sa=D&ust=1569253417207000&usg=AFQjCNFMmCcHNZrTP2PgyYUC014-aQNUNQ,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19872522+D
260,31,"MAINELY HOURS, INC.",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20081018%2BD&sa=D&ust=1569253417208000&usg=AFQjCNG0GKGBON2iauuRraRK0in9g65riA,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20081018+D
261,32,"MAINELY HOUSE, LLC",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20190605FC&sa=D&ust=1569253417208000&usg=AFQjCNEvp7Fw397TKlEXNcDyblt5Bihrpw,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20190605FC
262,33,"MAINELY HRT, LLC",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20141924DC&sa=D&ust=1569253417209000&usg=AFQjCNEkqzbCjegcoUrm0TeSw6qnkFdXgg,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20141924DC
263,34,"MAINELY HYDRO, LLC",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20153517DC&sa=D&ust=1569253417209000&usg=AFQjCNE2vF4rw2o3CLF9rxH7oEVMKtC3mw,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20153517DC
264,35,MAINELYHIKING LLC,FORMER,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20071674DC&sa=D&ust=1569253417210000&usg=AFQjCNFA8x8xU20fG1X2l4rCV6jYcaYlsw,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20071674DC
265,36,MHBI MAINELY HOME & BUILDING INSPECTIONS,MARK,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm%3D20020006%2BM&sa=D&ust=1569253417211000&usg=AFQjCNEBwKGa2ZvtmrCIb8RqL-L3IX1W0Q,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20020006+M
266,1,DAVE GOVE'S MAINE-LY IMPORTS,MARK,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm%3D19970211%2BM&sa=D&ust=1569253417211000&usg=AFQjCNF0Bil6g9wbjSYMcMlFhcrEpN8hCg,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19970211+M
267,2,MAINE-LY ICE CREAM,MARK,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm%3D19910214%2BM&sa=D&ust=1569253417212000&usg=AFQjCNHmqRIGAfJJa8JpitMxMiW_cqWQaw,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19910214+M
268,3,"MAINE-LY IMPORTS, INC.",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D19971497%2BD&sa=D&ust=1569253417212000&usg=AFQjCNE3rYSpQYZw2bby8xfRvwjh-yRsew,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19971497+D
