"","ZIP","TOTAL_POP","TOTAL_ADULTS"
"117","ZCTA5 04270",6350,4801
"118","ZCTA5 04271",0,0
"119","ZCTA5 04274",5588,4418
"120","ZCTA5 04275",437,385
"121","ZCTA5 04276",5719,5198
"122","ZCTA5 04280",6752,5192
"123","ZCTA5 04281",5111,4064
"124","ZCTA5 04282",5784,4479
"125","ZCTA5 04284",1026,800
"126","ZCTA5 04285",383,350
"127","ZCTA5 04286",51,25
"128","ZCTA5 04287",3342,2626
"129","ZCTA5 04289",2339,1804
"130","ZCTA5 04290",1386,1204
"131","ZCTA5 04292",1114,850
"132","ZCTA5 04294",3963,3282
"133","ZCTA5 04330",25712,21360
"134","ZCTA5 04342",1673,1376
"135","ZCTA5 04343",0,0
"136","ZCTA5 04344",2906,2232
"137","ZCTA5 04345",11421,8687
"138","ZCTA5 04346",1921,1567
"139","ZCTA5 04347",2445,1901
"140","ZCTA5 04348",3169,2428
"141","ZCTA5 04349",1080,933
"142","ZCTA5 04350",3622,2976
"143","ZCTA5 04351",2539,2067
"144","ZCTA5 04352",1478,1184
"145","ZCTA5 04353",2389,1851
"146","ZCTA5 04354",1455,1191
"147","ZCTA5 04355",2556,2012
"148","ZCTA5 04357",3399,2755
"149","ZCTA5 04358",4156,3208
"150","ZCTA5 04359",330,299
"151","ZCTA5 04360",468,384
"152","ZCTA5 04363",2592,2136
"153","ZCTA5 04364",5915,4836
"154","ZCTA5 04401",44536,36127
"155","ZCTA5 04406",817,700
"156","ZCTA5 04408",167,141
"157","ZCTA5 04410",1154,944
"158","ZCTA5 04411",1715,1375
"159","ZCTA5 04412",9090,7212
"160","ZCTA5 04413",195,174
"161","ZCTA5 04414",1248,1054
"162","ZCTA5 04415",317,260
"163","ZCTA5 04416",5541,4197
"164","ZCTA5 04417",361,312
"165","ZCTA5 04418",1729,1339
"166","ZCTA5 04419",2799,2217
"167","ZCTA5 04421",1117,1038
"168","ZCTA5 04422",1514,1150
"169","ZCTA5 04424",857,709
"170","ZCTA5 04426",4524,3626
"171","ZCTA5 04427",2803,2171
"172","ZCTA5 04428",3150,2481
"173","ZCTA5 04429",4762,3926
"174","ZCTA5 04430",1682,1404
"175","ZCTA5 04431",37,37
"176","ZCTA5 04434",1051,874
"177","ZCTA5 04435",1093,844
"178","ZCTA5 04438",1045,840
"179","ZCTA5 04441",1613,1394
"180","ZCTA5 04442",14,14
"181","ZCTA5 04443",2195,1822
"182","ZCTA5 04444",8936,7089
"183","ZCTA5 04448",1436,1177
"184","ZCTA5 04449",1369,1128
"185","ZCTA5 04450",1231,1000
"186","ZCTA5 04451",226,205
"187","ZCTA5 04453",749,653
"188","ZCTA5 04454",24,24
"189","ZCTA5 04455",736,583
"190","ZCTA5 04456",2974,2281
"191","ZCTA5 04457",5734,4767
"192","ZCTA5 04459",903,734
"193","ZCTA5 04460",1297,1074
"194","ZCTA5 04461",2991,2424
"195","ZCTA5 04462",4618,4046
"196","ZCTA5 04463",3196,2581
"197","ZCTA5 04464",505,408
"198","ZCTA5 04468",9073,7394
"199","ZCTA5 04469",2591,2551
"200","ZCTA5 04471",623,515
"201","ZCTA5 04472",2022,1757
"202","ZCTA5 04473",8185,7315
"203","ZCTA5 04474",3671,2904
"204","ZCTA5 04475",568,469
"205","ZCTA5 04476",1225,1012
"206","ZCTA5 04478",384,364
"207","ZCTA5 04479",1423,1237
"208","ZCTA5 04481",530,445
"209","ZCTA5 04485",169,152
"210","ZCTA5 04487",869,732
"211","ZCTA5 04488",1559,1179
"212","ZCTA5 04489",266,200
"213","ZCTA5 04490",268,236
"214","ZCTA5 04491",144,131
"215","ZCTA5 04492",123,92
"216","ZCTA5 04493",1841,1512
"217","ZCTA5 04495",442,339
"218","ZCTA5 04496",3931,3179
"219","ZCTA5 04497",304,268
