entity_folder_id,entity_id,folder_name,folder_path,allow_rename_ind,allow_subfolder_ind,allow_upload_ind,allow_delete_ind,more_public_files_ind,parent_folder_id,file_count,create_ts,last_update_ts
cb43bd73-fc8d-0044-e3e1-4d17f90a424a,9422,Political Files,Political Files,N,N,N,N,N,,197,2016-02-29T16:41:52-05:00,2016-02-29T16:41:52-05:00
41dd7a3f-85b9-921f-2386-a54eb3068cfe,9422,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T16:41:52-05:00,2016-02-29T16:41:52-05:00
fa7a24a6-d159-73eb-cba0-0a5e97ecbd63,4092,Political Files,Political Files,N,N,N,N,N,,515,2016-02-29T16:21:48-05:00,2016-02-29T16:21:48-05:00
9557c4a8-3a27-ff5a-30a5-99a9d3652227,4092,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T16:21:48-05:00,2016-02-29T16:21:48-05:00
aaea1ebd-6124-4421-b9d1-fd1224b03075,421,Political Files,Political Files,N,N,N,N,N,,0,2016-02-29T16:20:41-05:00,2016-02-29T16:20:41-05:00
df32b6c0-0414-c7cb-6693-44389bf486cf,421,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T16:20:41-05:00,2016-02-29T16:20:41-05:00
5ad76fba-0849-4631-c87a-ba777c107be0,6782,Political Files,Political Files,N,N,N,N,N,,307,2016-02-29T15:57:02-05:00,2016-02-29T15:57:02-05:00
85bee830-6269-a183-1f5c-e4a26ea10b9b,6782,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T15:57:02-05:00,2016-02-29T15:57:02-05:00
941a64cc-a604-2083-b1d8-7d3c2d4e7eb6,3665,Political Files,Political Files,N,N,N,N,N,,28,2016-02-29T16:45:29-05:00,2016-02-29T16:45:29-05:00
c91144ee-59c8-66ef-dd51-86fd5bf88be2,3665,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,19,2016-02-29T16:45:29-05:00,2016-02-29T16:45:29-05:00
