,id,callSign,frequency,activeInd,medium
333,28468,WNPX-TV,578.0,Y,tv
334,29547,WSBS-CD,512.0,Y,tv
335,31351,KDFS-CD,566.0,Y,tv
336,66170,KTIV,632.0,Y,tv
337,31649,WOIL-CD,668.0,Y,tv
338,71329,WDBJ,566.0,Y,tv
339,34200,WKPI-TV,524.0,Y,tv
340,34212,WKMA-TV,572.0,Y,tv
341,34342,WWDG-CD,204.0,Y,tv
342,69149,WUNK-TV,524.0,Y,tv
343,64352,WSPX-TV,602.0,Y,tv
344,18148,KDTV-CD,,Y,tv
345,70428,WBXC-CD,662.0,Y,tv
346,22819,WATL,536.0,Y,tv
347,34867,KHNL,596.0,Y,tv
348,34874,KGW,180.0,Y,tv
349,24570,K25OB-D,728.0,Y,tv
350,66222,KFOR-TV,548.0,Y,tv
351,66257,K34NC-D,,Y,tv
352,35277,KNSD,626.0,Y,tv
353,39736,WFLX,548.0,Y,tv
354,4686,WTOK-TV,210.0,Y,tv
355,6867,WSAW-TV,174.0,Y,tv
356,664,KSIX-TV,536.0,Y,tv
357,68433,WXMI,578.0,Y,tv
358,68541,KTRE,186.0,Y,tv
359,68545,WMLW-TV,488.0,Y,tv
360,12524,KPEJ-TV,524.0,Y,tv
361,42008,KCWO-TV,584.0,Y,tv
362,17726,WDSE,180.0,Y,tv
363,23671,WWDP,192.0,Y,tv
364,68666,K17GD-D,512.0,Y,tv
365,68851,WWNY-TV,180.0,Y,tv
366,33742,KCOP-TV,210.0,Y,tv
367,33770,KDFW,596.0,Y,tv
368,69080,WUNC-TV,506.0,Y,tv
369,69292,WUND-TV,506.0,Y,tv
370,69338,WEDQ,590.0,Y,tv
371,69396,KUED,548.0,Y,tv
372,35913,KHPL-CD,578.0,Y,tv
373,50141,WOUC-TV,82.0,Y,tv
374,35921,KHPM-CD,626.0,Y,tv
375,51469,KZBZ-CD,542.0,Y,tv
376,69479,WCTE,518.0,Y,tv
377,19776,WSUR-DT,186.0,Y,tv
378,70034,KMOV,530.0,Y,tv
379,70097,WGTB-CD,,Y,tv
380,710,WGIQ,566.0,Y,tv
381,51517,KTXA,494.0,Y,tv
382,70426,WBXA-CD,54.0,Y,tv
383,70536,WSEC,494.0,Y,tv
384,70917,KFXK-TV,572.0,Y,tv
385,71070,KORY-CD,632.0,Y,tv
386,10802,WTTW,536.0,Y,tv
387,35675,KTRK-TV,210.0,Y,tv
388,53118,KSAT-TV,204.0,Y,tv
389,71363,WEAR-TV,488.0,Y,tv
390,34529,KHOU,198.0,Y,tv
391,36917,KHII-TV,518.0,Y,tv
392,37106,WHNO,512.0,Y,tv
393,73875,WPGH-TV,506.0,Y,tv
394,53539,KRPV-DT,548.0,Y,tv
395,53905,WYFF,566.0,Y,tv
396,53928,KOAT-TV,174.0,Y,tv
397,38585,KLMB-CD,524.0,Y,tv
398,54938,WAWD,536.0,Y,tv
399,38591,KLTS-TV,488.0,Y,tv
400,55031,KJTV-TV,596.0,Y,tv
401,55055,KXTQ-CD,,Y,tv
402,40058,KCWT-CD,566.0,Y,tv
403,81946,WMWC-TV,180.0,Y,tv
404,82613,KRTN-TV,584.0,Y,tv
405,40619,WGPT,602.0,Y,tv
406,40759,WTVZ-TV,584.0,Y,tv
407,415,WUTV,578.0,Y,tv
408,55350,WLYH,566.0,Y,tv
409,11259,WVNY,174.0,Y,tv
410,84802,WBIH,590.0,Y,tv
411,86205,KPIF,476.0,Y,tv
412,86496,WTPX-TV,500.0,Y,tv
413,89714,KUPU,476.0,Y,tv
414,55370,KBRR,192.0,Y,tv
415,55372,KVRR,500.0,Y,tv
416,166512,WWJX,524.0,Y,tv
417,55454,WRDQ,548.0,Y,tv
418,24582,WHLV-TV,578.0,Y,tv
419,84225,KOCM,482.0,Y,tv
420,42359,KTXD-TV,524.0,Y,tv
421,168478,WNYF-CD,,Y,tv
422,168495,KULX-CD,,Y,tv
423,4145,KAII-TV,174.0,Y,tv
424,11699,KETF-CD,620.0,Y,tv
425,5360,WIAT,566.0,Y,tv
426,7078,KTPX-TV,554.0,Y,tv
427,9987,WCVE-TV,638.0,Y,tv
428,10173,KTUU-TV,192.0,Y,tv
429,10242,KQCA,524.0,Y,tv
430,61071,KPSD-TV,210.0,Y,tv
431,10869,WVTT-CD,536.0,Y,tv
432,11027,WGGN-TV,60.0,Y,tv
433,11260,WIVT,548.0,Y,tv
434,63046,WLEF-TV,602.0,Y,tv
435,11265,KCAU-TV,186.0,Y,tv
436,12523,KVEO-TV,530.0,Y,tv
437,12913,KLUJ-TV,512.0,Y,tv
438,65046,WTLV,210.0,Y,tv
439,65130,WQCW,476.0,Y,tv
440,65355,KTTZ-TV,620.0,Y,tv
441,14675,KTMF,524.0,Y,tv
442,65749,WJET-TV,554.0,Y,tv
443,65919,WHKY-TV,470.0,Y,tv
444,23142,WWSI,590.0,Y,tv
445,23338,WXBU,512.0,Y,tv
446,67022,W15EB-D,82.0,Y,tv
447,67893,WDLI-TV,518.0,Y,tv
448,68395,WBYD-CD,596.0,Y,tv
449,26304,KENS,620.0,Y,tv
