,make,model,vehicle_count,all_vehicles,vehicle_share,terry_hayes,janet_mills,shawn_moody,others,blank,total_votes_cast,town,winner,winner_share
180,Chev,Silverado,10,76,0.13157894736842105,4,13,19,0,4,40,Brighton Plt,Shawn Moody,47.5
181,Suba,Forester,110,2659,0.041368935690109056,51,881,348,0,22,1302,Mount Desert,Janet Mills,67.66513056835635
182,Chev,Silverado,237,3935,0.0602287166454892,119,766,953,0,37,1875,Madison,Shawn Moody,50.82666666666666
183,Chev,Silverado,43,912,0.04714912280701754,28,288,215,0,6,537,Montville,Janet Mills,53.63128491620114
184,Suba,Outback,37,772,0.04792746113989636,23,267,159,0,8,457,Bremen,Janet Mills,58.42450765864333
185,Toyo,Tacoma,23,466,0.04935622317596568,19,118,112,0,9,258,Newry,Janet Mills,45.736434108527135
186,Gmc,Sierra,51,1134,0.04497354497354497,31,213,288,0,16,548,Guilford,Shawn Moody,52.55474452554744
187,Chev,Silverado,138,2903,0.047537030657940064,84,525,715,1,25,1350,Clinton,Shawn Moody,52.962962962962955
188,Gmc,Sierra,188,4193,0.04483663248270928,165,981,1022,0,57,2225,Bucksport,Shawn Moody,45.93258426966292
189,Gmc,Sierra,7,170,0.041176470588235294,12,51,64,0,2,129,Saint John Plt,Shawn Moody,49.612403100775204
190,Chev,Silverado,167,3689,0.04526972079154241,95,674,914,1,36,1720,Warren,Shawn Moody,53.13953488372093
191,Gmc,Sierra,116,1876,0.06183368869936035,53,354,462,0,25,894,Milo,Shawn Moody,51.67785234899329
192,Chev,Silverado,33,785,0.04203821656050956,30,160,173,0,8,371,New Portland,Shawn Moody,46.63072776280323
193,Chev,Silverado,71,1016,0.06988188976377953,29,196,282,0,12,519,Cherryfield,Shawn Moody,54.33526011560692
194,Gmc,Sierra,68,1073,0.06337371854613234,41,113,368,0,14,536,Hodgdon,Shawn Moody,68.65671641791045
195,Chev,Silverado,155,4127,0.03755754785558516,123,846,1268,0,43,2280,Sidney,Shawn Moody,55.614035087719316
196,Chev,Silverado,230,5478,0.04198612632347571,203,1079,1428,1,55,2766,Poland,Shawn Moody,51.62689804772234
197,Ford,F150,27,724,0.03729281767955801,22,135,161,0,5,323,Detroit,Shawn Moody,49.84520123839008
198,Chev,Silverado,40,479,0.08350730688935283,15,113,141,0,8,277,Robbinston,Shawn Moody,50.902527075812266
199,Ford,F150,254,8138,0.03121159990169575,325,1536,2060,0,99,4020,Lisbon,Shawn Moody,51.24378109452737
200,Ford,F150,55,1141,0.04820333041191937,42,299,299,1,11,652,Chesterville,Tie,0.0
201,Gmc,Sierra,44,694,0.06340057636887608,10,192,63,0,6,271,North Haven,Janet Mills,70.84870848708488
202,Ford,F150,38,714,0.05322128851540615,22,223,168,0,6,419,Industry,Janet Mills,53.22195704057279
203,Gmc,Sierra,5,65,0.07692307692307693,1,9,19,0,0,29,Macwahoc Plt,Shawn Moody,65.51724137931032
204,Ford,Escape,49,1537,0.03188028627195836,37,520,360,0,12,929,Northport,Janet Mills,55.97416576964477
205,Suba,Forester,1618,48936,0.033063593264672224,1364,26237,5675,0,806,34082,Portland,Janet Mills,76.98198462531542
206,Suba,Forester,89,2073,0.04293294741919923,61,1044,361,0,37,1503,Hallowell,Janet Mills,69.46107784431138
207,Chev,Silverado,20,392,0.05102040816326532,6,54,125,3,0,188,Cambridge,Shawn Moody,66.48936170212765
208,Chev,Silverado,36,644,0.055900621118012424,15,97,212,0,6,330,Sebec,Shawn Moody,64.24242424242425
209,Suba,Outback,5,65,0.07692307692307693,4,48,8,0,5,65,Isle Au Haut,Janet Mills,73.84615384615383
210,Toyo,Camry,39,1628,0.023955773955773956,35,539,272,0,13,859,Ogunquit,Janet Mills,62.747380675203715
211,Chev,Silverado,59,1106,0.053345388788426755,114,156,258,0,6,534,Hartford,Shawn Moody,48.31460674157302
212,Chev,Silverado,85,2473,0.03437120905782451,92,753,621,0,18,1484,Readfield,Janet Mills,50.74123989218328
213,Chev,Silverado,8,115,0.06956521739130435,2,20,43,0,0,65,Orient,Shawn Moody,66.15384615384617
214,Gmc,Sierra,72,815,0.08834355828220859,21,115,260,0,4,400,Lee,Shawn Moody,65.0
215,Gmc,Sierra,3,32,0.09375,3,4,9,0,0,16,Nashville Plt,Shawn Moody,56.25
216,Suba,Forester,23,626,0.03674121405750799,28,183,156,3,13,383,Thorndike,Janet Mills,47.78067885117492
217,Chev,Silverado,145,3592,0.04036748329621381,85,561,988,0,31,1665,Limington,Shawn Moody,59.339339339339354
218,Chev,Silverado,9,121,0.07438016528925619,4,23,34,0,3,64,Wesley,Shawn Moody,53.125
219,Chev,Silverado,29,637,0.04552590266875982,29,166,178,0,7,380,Freedom,Shawn Moody,46.842105263157876
220,Chev,Silverado,94,1884,0.04989384288747346,33,286,556,0,20,895,Corinna,Shawn Moody,62.12290502793298
221,Ford,F150,60,1352,0.04437869822485207,33,309,376,0,12,730,Cornish,Shawn Moody,51.506849315068486
222,Suba,Forester,218,4689,0.046491789294092555,147,2133,624,0,61,2965,Bar Harbor,Janet Mills,71.93929173693088
223,Chev,Silverado,53,1299,0.04080061585835258,35,281,318,0,15,649,Denmark,Shawn Moody,48.99845916795067
224,Ford,F150,216,4165,0.051860744297719086,116,660,1114,0,49,1939,Lincoln,Shawn Moody,57.45229499742134
225,Chev,Silverado,74,1629,0.04542664211172498,40,450,392,1,17,900,Owls Head,Janet Mills,50.0
226,Chev,Silverado,7,149,0.04697986577181208,4,35,56,0,4,99,Beaver Cove,Shawn Moody,56.56565656565657
227,Chev,Silverado,486,17908,0.027138708956890772,700,4578,4235,13,229,9755,Auburn,Janet Mills,46.92977960020502
228,Chev,Silverado,47,685,0.0686131386861314,26,108,214,0,5,353,Princeton,Shawn Moody,60.62322946175637
229,Chev,Silverado,178,4061,0.04383156857916769,205,533,991,0,24,1753,Oxford,Shawn Moody,56.531660011408995
230,Chev,Silverado,69,1451,0.047553411440385926,49,323,401,1,22,796,Washington,Shawn Moody,50.37688442211056
231,Gmc,Sierra,133,2497,0.053263916700040055,54,293,786,0,29,1162,Corinth,Shawn Moody,67.64199655765923
232,Ford,F150,21,310,0.06774193548387097,7,48,93,0,5,153,Burlington,Shawn Moody,60.784313725490186
233,Gmc,Sierra,34,817,0.041615667074663396,22,145,227,0,5,399,Clifton,Shawn Moody,56.8922305764411
234,Toyo,Tacoma,46,1029,0.04470359572400389,29,367,175,0,8,579,Brooksville,Janet Mills,63.38514680483592
235,Ford,F150,47,1200,0.039166666666666655,35,336,300,0,2,673,Fayette,Janet Mills,49.925705794948
