,affiliated_committee_name,candidate_ids,committee_id,committee_type,committee_type_full,cycles,designation,designation_full,filing_frequency,first_file_date,last_f1_date,last_file_date,name,organization_type,organization_type_full,party,party_full,state,treasurer_name,active_through,candidate_id,candidate_inactive,candidate_status,district,district_number,election_districts,election_years,federal_funds_flag,has_raised_funds,inactive_election_years,incumbent_challenge,incumbent_challenge_full,last_f2_date,load_date,office,office_full,principal_committees
58774,,['P80002132'],C00221572,P,Presidential,"[1988, 1990, 1992, 1994, 1996]",P,Principal campaign committee,A,1988-01-22,1988-01-22,1996-05-15,SERVANT OF SERVANTS-7*-S0S-7-STAR (PCC PALMER),,,IND,INDEPENDENT,MS,SAMUEL PALMER,,,,,,,,,,,,,,,,,,
58779,,['P60018314'],C00596924,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-12-15,2016-05-23,2018-04-26,SHANNON HAZZARD FOR PRESIDENT,,,,,VA,NOAH HAZZARD,,,,,,,,,,,,,,,,,,
58780,,['P60000585'],C00030072,P,Presidential,"[1976, 1978, 1980]",P,Principal campaign committee,T,1975-06-25,1976-08-23,1980-10-09,SHAPP FOR PRESIDENT COMMITTEE,,,DEM,DEMOCRATIC PARTY,PA,G. THOMAS MILLER,,,,,,,,,,,,,,,,,,
58783,,['P00004523'],C00356659,P,Presidential,"[2000, 2002, 2004, 2006]",P,Principal campaign committee,A,2000-04-17,2004-11-10,2006-07-14,SHARON HARRELL CAMPAIGN,,,IND,INDEPENDENT,WA,SHARON W HARRELL,,,,,,,,,,,,,,,,,,
58784,,[],C00624395,P,Presidential,"[2016, 2018]",A,Authorized by a candidate,A,2017-02-16,,2017-04-05,SHARON HARRELL CAMPAIGN SHARON HARRELL FUND,,,,,OR,SHARON WANDA HARRELL,,,,,,,,,,,,,,,,,,
58786,,['P00004523'],C00518886,P,Presidential,"[2012, 2014, 2016]",A,Authorized by a candidate,A,2012-04-11,2012-04-11,2015-08-06,SHARON HARRELL STRATEGIC DEFENCE FUND OR SHARON HARRELL NON PROFIT CORPORATION,,,IND,INDEPENDENT,OR,SHARON HARRELL,,,,,,,,,,,,,,,,,,
58787,,['P00002170'],C00118273,P,Presidential,[1980],P,Principal campaign committee,T,1979-12-31,1979-12-31,1980-11-20,SHARON RODE FOR PRESIDENT,,,,,MI,CAROL S RODE,,,,,,,,,,,,,,,,,,
58790,,['P60003415'],C00302315,P,Presidential,"[1996, 1998, 2000]",P,Principal campaign committee,A,1995-04-17,1995-04-17,2000-01-21,SHEAR'REE PRESIDENTIAL CAMPAIGN,,,REP,REPUBLICAN PARTY,CA,SHEAR'REE,,,,,,,,,,,,,,,,,,
58791,,['P60022050'],C00621268,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2016-07-06,2016-07-06,2018-04-27,SHELLEY HOLY FOR US PRESIDENT,,,REP,REPUBLICAN PARTY,ID,SHELLEY F HOLY,,,,,,,,,,,,,,,,,,
58792,,['P60004314'],C00314526,P,Presidential,"[1996, 1998, 2000, 2002]",P,Principal campaign committee,A,1996-03-04,1998-01-06,2002-06-18,"SHEPHERD, LARRY E SR",,,DEM,DEMOCRATIC PARTY,CA,"LARRY E. SHEPHERD, SR.",,,,,,,,,,,,,,,,,,
58793,,['P60004884'],C00545251,P,Presidential,"[2014, 2016, 2018]",P,Principal campaign committee,A,2013-05-28,2013-05-28,2018-04-26,SHERLENE IS IT,,,REP,REPUBLICAN PARTY,DC,SHERLENE STEVENS,,,,,,,,,,,,,,,,,,
58794,,['P20001061'],C00378919,P,Presidential,"[2002, 2004]",P,Principal campaign committee,A,2002-06-17,2002-06-17,2004-05-12,SHERRY A MEADOWS FOR PRESIDENT,,,DEM,DEMOCRATIC PARTY,TX,SHERRY A MEADOWS,,,,,,,,,,,,,,,,,,
58795,,['P20001061'],C00257253,P,Presidential,"[1992, 1994, 1996]",P,Principal campaign committee,T,1991-12-19,1991-12-19,1995-04-14,SHERRY A MEADOWS FOR PRESIDENT COMMITTEE,,,DEM,DEMOCRATIC PARTY,TX,SHERRY ANN MEADOWS,,,,,,,,,,,,,,,,,,
58796,,['P80003031'],C00421743,P,Presidential,"[2006, 2008, 2010, 2012, 2014, 2016]",P,Principal campaign committee,A,2006-03-27,2015-07-30,2015-08-26,SHERRY A MEADOWS FOR PRESIDENT COMMITTEE,,,,,TX,SHERRY A MEADOWS,,,,,,,,,,,,,,,,,,
58799,,['P60005733'],C00571653,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-01-20,2015-03-16,2018-04-26,SHOS MUSIC COMMITTEE TO ELECT SHO MUHAMMAD FOR PRESIDENT,,,UNK,UNKNOWN,TX,SHO MUHAMMAD,,,,,,,,,,,,,,,,,,
58800,,['P20004248'],C00507343,P,Presidential,[2012],P,Principal campaign committee,T,2011-12-09,2012-08-24,2012-09-04,SHOWING U S CITIZENS HOW TO RUN FOR PRESIDENT,,,,,OK,BRANDON S. DEAN,,,,,,,,,,,,,,,,,,
58801,,['P60000817'],C00030106,P,Presidential,"[1976, 1978, 1980, 1982]",P,Principal campaign committee,A,1975-07-15,1977-12-01,1981-12-03,SHRIVER FOR PRESIDENT COMMITTEE,,,DEM,DEMOCRATIC PARTY,DC,ALAN SPATZ,,,,,,,,,,,,,,,,,,
58802,,['P20000360'],C00255273,P,Presidential,"[1992, 1994, 1996, 1998]",A,Authorized by a candidate,A,1991-10-25,1991-10-25,1997-07-15,SHTIEK HOLTZ FOR BRAINS,,,DEM,DEMOCRATIC PARTY,NY,GAVRIEL C FRIED,,,,,,,,,,,,,,,,,,
58804,,['P00003210'],C00334730,P,Presidential,"[1998, 2000, 2002]",P,Principal campaign committee,A,1998-03-10,1998-03-10,2002-06-18,SIERRA FOR PRESIDENT,,,IND,INDEPENDENT,NY,JOSEPH E HOLCOMB,,,,,,,,,,,,,,,,,,
58806,,['P00000943'],C00111021,P,Presidential,"[1980, 1982]",P,Principal campaign committee,T,1979-07-05,1979-07-05,1982-05-27,SILBIGER FOR PRESIDENT COMMITTEE,,,DEM,DEMOCRATIC PARTY,KS,STEVEN ALAN SILBIGER,,,,,,,,,,,,,,,,,,
58807,,['P20001400'],C00258913,P,Presidential,"[1992, 1994, 1996, 1998]",P,Principal campaign committee,A,1992-01-21,1992-01-21,1997-07-15,SIMMONS FOR PRESIDENT OF THE U S A 96,,,DEM,DEMOCRATIC PARTY,AK,MR R D SIMMONS,,,,,,,,,,,,,,,,,,
58808,,['P80005218'],C00443747,P,Presidential,"[2008, 2010, 2012, 2014]",P,Principal campaign committee,A,2008-01-22,2008-01-22,2014-01-10,SIMON-HIXON IN '08,,,NNE,NONE,NY,CAMERON F RABE,,,,,,,,,,,,,,,,,,
58810,,['P20002101'],C00474494,P,Presidential,"[2010, 2012, 2014]",P,Principal campaign committee,A,2010-01-28,2010-01-28,2014-01-10,SINGLETON FOR PRESIDENT,,,REP,REPUBLICAN PARTY,WI,KEITH ALAN SINGLETON,,,,,,,,,,,,,,,,,,
58811,,['P20002101'],C00585091,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-08-26,2015-08-26,2018-04-26,SINGLETON FOR PRESIDENT,,,IND,INDEPENDENT,WI,KEITH ALAN SINGLETON,,,,,,,,,,,,,,,,,,
58812,,['P60004280'],C00314013,P,Presidential,[1996],P,Principal campaign committee,T,1996-02-27,1996-02-27,1996-05-03,SKILLEN FOR PRESIDENT,,,REP,REPUBLICAN PARTY,NH,CYNTHIA J HOWARD,,,,,,,,,,,,,,,,,,
58813,,['P00004499'],C00356196,P,Presidential,"[2000, 2002]",P,Principal campaign committee,T,2000-04-07,2000-04-07,2001-05-18,SKINNER 2000,,,REF,REFORM PARTY,MO,BRENDA BESHEARS,,,,,,,,,,,,,,,,,,
58816,,['P20001640'],C00266569,P,Presidential,"[1992, 1994, 1996, 1998]",P,Principal campaign committee,A,1992-04-28,1993-06-07,1997-07-15,SLINKER FOR PRESIDENT,,,UNK,UNKNOWN,PA,KEITH HAROLD SLINKER,,,,,,,,,,,,,,,,,,
58817,,['P20001640'],C00359109,P,Presidential,"[2000, 2002, 2004]",P,Principal campaign committee,A,2000-06-21,2002-09-16,2002-09-16,SLINKER FOR PRESIDENT CAMPAIGN COMMITTEE,,,,,PA,KEITH HAROLD SLINKER,,,,,,,,,,,,,,,,,,
58818,,['P00003046'],C00136143,P,Presidential,[1980],P,Principal campaign committee,T,1980-09-22,1980-09-22,1980-12-29,SMITH-BARRON CAMPAIGN COMMITTEE,,,,,CA,MRS. EMMA MAR,,,,,,,,,,,,,,,,,,
58819,,['P60018769'],C00611095,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2016-03-07,2016-04-07,2018-04-26,SMITH FOR AMERICA,,,,,WV,WILLIAM ROGER SMITH,,,,,,,,,,,,,,,,,,
58820,,['P60009966'],C00583740,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-08-19,2015-09-22,2018-04-26,SMITH SERVANT COMMITTEE,,,IND,INDEPENDENT,MD,ROBERT ALLISON SMITH JR,,,,,,,,,,,,,,,,,,
58821,,['P80005572'],C00450908,P,Presidential,"[2008, 2010]",P,Principal campaign committee,T,2008-05-29,2008-05-29,2009-04-23,SOCIALISM AND LIBERATION CAMPAIGN COMMITTEE,,,,,CA,KEITH A PAVLIK,,,,,,,,,,,,,,,,,,
58822,,['P20004636'],C00511998,P,Presidential,"[2012, 2014]",P,Principal campaign committee,T,2012-02-06,2012-03-21,2013-01-22,SOCIALISM AND LIBERATION CAMPAIGN COMMITTEE FOR LINDSAY 2012,,,UNK,UNKNOWN,CA,KEITH PAVLIK,,,,,,,,,,,,,,,,,,
58823,,[],C00163220,P,Presidential,[1982],A,Authorized by a candidate,A,1982-10-26,1982-10-26,1982-10-26,SOCIALIST WORKERS 1982 TEXAS CAMPAIGN,,,,,TX,CHRISTOPHER BRANDLON,,,,,,,,,,,,,,,,,,
58824,,['P80002363'],C00224865,P,Presidential,[1988],P,Principal campaign committee,T,1988-03-28,1988-03-28,1989-01-20,SOCIALIST WORKERS 1988 NATIONAL CAMPAIGN COMMITTEE (WARREN FOR PRESIDENT/MICKELLS FOR V-P),,,SWP,SOCIALIST WORKERS PARTY,NY,KATHLEEN L WHEELER,,,,,,,,,,,,,,,,,,
58825,,['P80002363'],C00268508,P,Presidential,"[1992, 1994]",P,Principal campaign committee,T,1992-05-18,1992-05-18,1993-05-04,SOCIALIST WORKERS 1992 NATIONAL CAMPAIGN COMMITTEE,,,SWP,SOCIALIST WORKERS PARTY,NY,DEAN ATHANS,,,,,,,,,,,,,,,,,,
58826,,['P60004454'],C00318154,P,Presidential,"[1996, 1998]",P,Principal campaign committee,T,1996-05-07,1996-05-07,1997-04-15,SOCIALIST WORKERS 1996 NATIONAL CAMPAIGN COMMITTEE (HARRIS FOR PRES/GARZA FOR VICE PRES),,,SWP,SOCIALIST WORKERS PARTY,NY,GREG MCCARTAN,,,,,,,,,,,,,,,,,,
58827,,['P00001354'],C00126714,P,Presidential,[1980],A,Authorized by a candidate,T,1980-04-16,1980-05-30,1981-01-28,SOCIALIST WORKERS CAMPAIGN COMMITTEE FOR PULLEY-ZIMMERMAN,,,,,TX,JOAN YOW,,,,,,,,,,,,,,,,,,
58828,,['P00001354'],C00112821,P,Presidential,"[1980, 1982]",P,Principal campaign committee,T,1979-08-22,1979-08-22,1981-03-27,SOCIALIST WORKERS PRESIDENTIAL CAMPAIGN COMMITTEE,,,SWP,SOCIALIST WORKERS PARTY,NY,GEORGE NOVACK,,,,,,,,,,,,,,,,,,
58829,,['P40001323'],C00175802,P,Presidential,"[1984, 1986]",P,Principal campaign committee,T,1984-01-27,1984-04-17,1985-05-21,SOCIALIST WORKERS PRESIDENTIAL CAMPAIGN COMMITTEE,,,SWP,SOCIALIST WORKERS PARTY,NY,GEORGE NOVACK,,,,,,,,,,,,,,,,,,
58830,,['P80000128'],C00194928,P,Presidential,"[1986, 1988, 1990, 1992, 1994, 1996]",P,Principal campaign committee,A,1985-04-12,1985-04-12,1996-05-15,SOCIETY FOR THE PREVENTION OF CRUELTY TO VOTERS (PCC BURGER),,,UNK,UNKNOWN,NC,LAURA C VAN SANT,,,,,,,,,,,,,,,,,,
58831,,['P40001109'],C00438705,P,Presidential,"[2008, 2010, 2012, 2014]",P,Principal campaign committee,A,2007-09-14,2007-09-14,2014-01-10,SOLE ROYAL EMBASSY OF THE UNITED STATES OF TURTLE ISLAND; THE,,,OTH,OTHER,CA,HRM CAESAR ST AUGUSTINE DE BUONAPARTE,,,,,,,,,,,,,,,,,,
58833,,['P60009495'],C00582833,P,Presidential,[2016],P,Principal campaign committee,T,2015-08-04,2016-03-11,2016-03-18,SOLUTIONATORS FOR EDEN 2016,,,DEM,DEMOCRATIC PARTY,DC,EDEN,,,,,,,,,,,,,,,,,,
58834,,['P40000879'],C00171728,P,Presidential,"[1984, 1986]",A,Authorized by a candidate,T,1983-10-28,1984-08-16,1985-12-13,SONIA JOHNSON CITIZEN FOR PRESIDENT,,,CIT,CITIZENS' PARTY,VA,JULIE J AINSLIE,,,,,,,,,,,,,,,,,,
58835,,['P40000879'],C00189092,P,Presidential,"[1984, 1986]",P,Principal campaign committee,T,1984-08-20,1984-08-20,1985-12-13,SONIA JOHNSON-CITIZEN FOR PRESIDENT (GENERAL ELECTION),,,,,VA,JULIE J AINSLIE,,,,,,,,,,,,,,,,,,
58836,,['P20002937'],C00497354,P,Presidential,"[2012, 2014, 2016]",P,Principal campaign committee,A,2011-06-10,2011-10-21,2015-09-11,SOPHIA THE LOGOS,,,,,VA,KRISTEN TOLLEFSEN,,,,,,,,,,,,,,,,,,
58839,,['P20000535'],C00310441,P,Presidential,[1996],P,Principal campaign committee,T,1996-01-11,1996-01-11,1996-10-04,SOUTH 23 30' OR FIGHT ELECT TOM BRADLEY PRESIDENT,,,REP,REPUBLICAN PARTY,NY,JULIA ELIZABETH BRADLEY,,,,,,,,,,,,,,,,,,
58840,,['P60003076'],C00311100,P,Presidential,"[1996, 1998]",A,Authorized by a candidate,T,1996-01-19,1997-11-05,1997-11-28,SOUTH CAROLINIANS FOR KEYES '96,,,REP,REPUBLICAN PARTY,SC,CAROLYN B RICE,,,,,,,,,,,,,,,,,,
58841,,['P60003076'],C00311894,P,Presidential,[1996],A,Authorized by a candidate,T,1996-01-30,1996-01-30,1996-09-13,SOUTH DAKOTANS FOR ALAN KEYES '96,,,REP,REPUBLICAN PARTY,SD,GRETCHEN A HOFFMAN,,,,,,,,,,,,,,,,,,
58842,,['P00000075'],C00090985,P,Presidential,"[1978, 1980, 1982]",A,Authorized by a candidate,A,1978-03-30,1980-03-31,1981-11-04,SOUTHERN CALIFORNIA COMMITTEE TO ELECT ANTHONY S. CHAVEZ FOR U.S. PRESIDENT,,,,,CA,LAWRENCE E. SUMMERS,,,,,,,,,,,,,,,,,,
58843,,['P00003400'],C00341982,P,Presidential,"[1998, 2000, 2002]",P,Principal campaign committee,T,1998-12-14,1998-12-14,2001-02-16,SPIRIT OF '76 COMMITTEE TO ELECT BERNARD PALICKI,,,,,AL,BERNARD PALICKI,,,,,,,,,,,,,,,,,,
58844,,['P80004302'],C00435172,P,Presidential,"[2008, 2010, 2012, 2014, 2016]",P,Principal campaign committee,A,2007-05-21,2007-05-21,2015-08-10,SPRANKLE FOR PRESIDENT INC,,,REP,REPUBLICAN PARTY,WA,KEITH ROBERT SPRANKLE,,,,,,,,,,,,,,,,,,
58845,,['P80005317'],C00446161,P,Presidential,"[2008, 2010, 2012, 2014, 2016]",P,Principal campaign committee,A,2008-02-27,2008-02-27,2015-09-11,STAND FOR US PRESIDENT 08,,,IND,INDEPENDENT,NV,ELM W STAND,,,,,,,,,,,,,,,,,,
58846,,['P80004096'],C00433631,P,Presidential,"[2008, 2010, 2012, 2014, 2016]",P,Principal campaign committee,A,2007-04-09,2007-04-09,2015-08-10,STANHOPE '08 COMMITTEE,,,LIB,LIBERTARIAN PARTY,AZ,LAURA BETH WISE,,,,,,,,,,,,,,,,,,
58847,,['P20001541'],C00261438,P,Presidential,"[1992, 1994, 1996, 1998, 2000]",P,Principal campaign committee,A,1992-03-02,1992-03-02,2000-01-24,STANLEY FRANKLIN ALLEN COMMITTEE,,,UNK,UNKNOWN,CA,STANLEY FRANKLIN ALLEN,,,,,,,,,,,,,,,,,,
58849,,['P60009214'],C00582023,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-07-27,2015-07-27,2018-04-26,STAN WARNER FOR PRESIDENT,,,REP,REPUBLICAN PARTY,CA,STAN WARNER,,,,,,,,,,,,,,,,,,
58851,,['P40001463'],C00181198,P,Presidential,[1984],P,Principal campaign committee,T,1984-04-05,1984-04-05,1984-10-10,STASSEN FOR PRESIDENT REPUBLICAN COMMITTEE,,,REP,REPUBLICAN PARTY,MN,VIOLET A CRAWFORD,,,,,,,,,,,,,,,,,,
58852,,['P00000539'],C00108639,P,Presidential,[1980],P,Principal campaign committee,T,1979-03-26,1979-06-06,1980-11-07,"STASSEN PROGRAM, THE",,,,,MN,SIGURD A BERTELSEN,,,,,,,,,,,,,,,,,,
58855,,['P80001100'],C00215962,P,Presidential,[1988],P,Principal campaign committee,T,1987-07-01,1987-07-01,1988-04-29,STEPHANIE VAN VLIET COMMITTEE,,,REP,REPUBLICAN PARTY,CA,STEPHANIE VAN VLIET,,,,,,,,,,,,,,,,,,
58858,,['P60004140'],C00309435,P,Presidential,"[1996, 1998]",P,Principal campaign committee,A,1995-12-14,1995-12-14,1997-07-15,STEPHEN L SPAID ELECTION COMMITTEE,,,IND,INDEPENDENT,MD,STEPHEN L SPAID,,,,,,,,,,,,,,,,,,
58860,STEPHEN PATTERSON,['P60008695'],C00587535,P,Presidential,"[2016, 2018]",A,Authorized by a candidate,A,2015-09-23,2015-10-08,2018-04-26,STEPHEN PATTERSON,,,REP,REPUBLICAN PARTY,MI,"PATTERSON, EDEN",,,,,,,,,,,,,,,,,,
58861,,['P20004743'],C00513275,P,Presidential,"[2012, 2014, 2016]",P,Principal campaign committee,A,2012-02-13,2012-02-13,2015-08-06,STEPHEN ROLLINS 2012 PRESIDENTIAL CAMPAIGN COMMITTEE,,,IND,INDEPENDENT,CA,JANE MARIE WEST,,,,,,,,,,,,,,,,,,
58862,,['P00001016'],C00249268,P,Presidential,"[1990, 1992, 1994]",P,Principal campaign committee,A,1990-10-25,1990-10-25,1990-10-25,STEPHEN ZAMMUTO FOR PRESIDENT,,,IND,INDEPENDENT,FL,EILEEN AUDREY TRAVIS,,,,,,,,,,,,,,,,,,
58863,,['P80000474'],C00299966,P,Presidential,"[1994, 1996]",P,Principal campaign committee,T,1994-11-17,1994-11-17,1995-06-30,STERN FOR PRESIDENT,,,DEM,DEMOCRATIC PARTY,FL,LISA STERN,,,,,,,,,,,,,,,,,,
58865,,['P80004625'],C00438036,P,Presidential,"[2008, 2010]",P,Principal campaign committee,T,2007-08-24,2007-08-30,2009-09-01,STEVE ADAMS FOR PRESIDENT,,,,,KY,DONALD PAUL MCCOY,,,,,,,,,,,,,,,,,,
58866,,['P60003704'],C00304162,P,Presidential,"[1996, 1998, 2000]",P,Principal campaign committee,A,1995-07-13,1995-08-21,2000-11-02,STEVE LEECH FOR PRESIDENT,,,UNK,UNKNOWN,NC,STEPHEN WAYNE LEECH,,,,,,,,,,,,,,,,,,
58868,,['P40001679'],C00184572,P,Presidential,[1984],P,Principal campaign committee,T,1984-05-13,1984-06-19,1985-04-03,STEVE MARCUS FOR PRESIDENT COMMITTEE,,,,,CA,STEPHEN WILLIAM MARCUS,,,,,,,,,,,,,,,,,,
58869,,['P60003100'],C00299958,P,Presidential,"[1994, 1996, 1998]",P,Principal campaign committee,A,1994-11-17,1995-06-23,1997-07-15,STEVE MICHAEL PRESIDENTIAL CAMPAIGN COMM,,,DEM,DEMOCRATIC PARTY,DC,WAYNE TURNER,,,,,,,,,,,,,,,,,,
58870,,['P20003299'],C00500595,P,Presidential,[2012],P,Principal campaign committee,T,2011-08-12,2011-08-12,2012-11-02,STEVE MOATS FOR 2012,,,REP,REPUBLICAN PARTY,CO,STEVEN KENT MOATS,,,,,,,,,,,,,,,,,,
58871,,['P00004820'],C00362889,P,Presidential,"[2000, 2002]",P,Principal campaign committee,T,2000-10-20,2000-10-20,2001-02-16,STEVEN ARTHUR PFEFFER FOR PRESIDENT,,,,,WI,RHONDA KAE PFEFFER,,,,,,,,,,,,,,,,,,
58874,,['P40001695'],C00184671,P,Presidential,[1984],P,Principal campaign committee,A,1984-05-18,1984-05-18,1984-05-18,STEVEN URY PRESIDENTIAL COMMITTEE OF LETS GET ON WITH LIFE,,,,,CA,PAUL EDWARD MIALIOVICH,,,,,,,,,,,,,,,,,,
58877,,['P20003968'],C00505263,P,Presidential,"[2012, 2014, 2016]",P,Principal campaign committee,A,2011-11-07,2012-01-20,2015-09-15,STEWART ALEXANDER FOR PRESIDENT CAMPAIGN COMMITTEE,,,,,CA,ANGELA K SARLAY,,,,,,,,,,,,,,,,,,
58880,,['P20004412'],C00508614,P,Presidential,[2012],P,Principal campaign committee,T,2011-12-29,2011-12-29,2012-04-19,STEWART GREENLEAF FOR AMERICA,,,,,PA,STEWART J GREENLEAF,,,,,,,,,,,,,,,,,,
58881,,['P40000259'],C00250902,P,Presidential,[1992],P,Principal campaign committee,T,1991-03-18,1991-03-18,1992-01-13,STEWART PRESIDENTIAL CLUB,,,DEM,DEMOCRATIC PARTY,AL,MRS FRANK STEWART,,,,,,,,,,,,,,,,,,
58882,,['P40000259'],C00164442,P,Presidential,"[1982, 1984]",P,Principal campaign committee,T,1982-12-17,1982-12-17,1985-01-10,STEWART PRESIDENTIAL CLUB,,,DEM,DEMOCRATIC PARTY,AL,MRS FRANK STEWART,,,,,,,,,,,,,,,,,,
58883,,['P40000259'],C00213124,P,Presidential,"[1986, 1988]",P,Principal campaign committee,T,1987-01-20,1987-01-20,1989-04-11,STEWART PRESIDENTIAL CLUB (PCC MRS FRANK STEWART),,,DEM,DEMOCRATIC PARTY,AL,MRS FRANK STEWART,,,,,,,,,,,,,,,,,,
58884,,['P20003828'],C00504712,P,Presidential,"[2012, 2014, 2016]",P,Principal campaign committee,A,2011-10-28,2011-10-28,2015-08-10,STILL 2012,,,,,OH,DARYL KLEIN,,,,,,,,,,,,,,,,,,
58885,,['P00004705'],C00360222,P,Presidential,"[2000, 2002, 2016]",P,Principal campaign committee,T,2000-07-26,2016-10-24,2016-12-07,STRICKLAND 2000 FOR U S PRESIDENT,,,,,WI,SHARON E MARTH,,,,,,,,,,,,,,,,,,
58886,,['P00004705'],C00630327,P,Presidential,"[2016, 2018]",P,Principal campaign committee,T,2016-12-28,,2017-03-06,STRICKLAND 2016 FOR PRESIDENT OF US,,,,,WI,,,,,,,,,,,,,,,,,,,
58887,,['P00004705'],C00617845,P,Presidential,[2016],P,Principal campaign committee,T,2016-05-17,2016-05-17,2016-09-23,STRICKLAND FOR PRESIDENT OF THE US,,,IND,INDEPENDENT,WI,SHARON E MARTH,,,,,,,,,,,,,,,,,,
58888,,['P00001990'],C00117713,P,Presidential,"[1980, 1982]",P,Principal campaign committee,A,1979-12-18,1981-09-23,1982-03-24,STROOM PRESIDENTIAL CANDIDACY '80 COMMITTEE; THE,,,REP,REPUBLICAN PARTY,PA,LOWELL R STROOM,,,,,,,,,,,,,,,,,,
58890,,['P60014933'],C00591438,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-11-05,2015-11-05,2018-04-26,STRUGGLE IS REAL; THE,,,,,GA,TIFFANY RAMIE,,,,,,,,,,,,,,,,,,
58892,,[],C00071290,P,Presidential,"[1976, 1978, 1980]",A,Authorized by a candidate,T,1976-11-01,1979-06-13,1979-06-13,STUDENT ACTION COMMITTEE,,,,,TX,STEVE STORY,,,,,,,,,,,,,,,,,,
58894,,['P40000978'],C00246108,P,Presidential,"[1990, 1992, 1994, 1996, 1998]",P,Principal campaign committee,A,1990-06-22,1992-07-02,1997-07-15,STUDENTS FOR ADS PROJECT LOVE,,,IND,INDEPENDENT,MO,ALPHONSO DEWITT STEWARD,,,,,,,,,,,,,,,,,,
58895,,['P40000978'],C00172700,P,Presidential,"[1984, 1986]",P,Principal campaign committee,T,1983-11-10,1983-11-10,1984-08-09,STUDENTS FOR ADS PROJECT LOVE (A MASTERS PEACE),,,IND,INDEPENDENT,NC,VERNEYCE D WILLIAMS,,,,,,,,,,,,,,,,,,
58896,,['P80000748'],C00215095,P,Presidential,"[1988, 1990, 1992, 1994, 1996]",A,Authorized by a candidate,A,1987-05-18,1987-05-18,1996-05-15,STUDENTS FOR RON PAUL,,,LIB,LIBERTARIAN PARTY,FL,ERIC RITTBERG,,,,,,,,,,,,,,,,,,
58897,N/A,['P00003566'],C00343731,P,Presidential,[2000],P,Principal campaign committee,T,1999-03-12,1999-04-15,2000-04-13,STURK FOR PRESIDENT,,,IND,INDEPENDENT,VA,JEFFREY FORREST STURK,,,,,,,,,,,,,,,,,,
58899,,['P40000606'],C00167924,P,Presidential,"[1984, 1986, 1988, 1990, 1992, 1994, 1996]",P,Principal campaign committee,A,1983-06-15,1983-06-15,1996-05-15,SUSAN DAKIN: AN ARTIST FOR PRESIDENT,,,DEM,DEMOCRATIC PARTY,CA,ALLAN KAPROW,,,,,,,,,,,,,,,,,,
58900,,['P60004033'],C00308486,P,Presidential,"[1996, 1998, 2000]",P,Principal campaign committee,A,1995-11-20,1996-01-31,1999-04-27,SUSAN DUCEY FOR PRESIDENT,,,REP,REPUBLICAN PARTY,PA,JAN C KUFNER,,,,,,,,,,,,,,,,,,
58904,,['P40000739'],C00248179,P,Presidential,"[1990, 1992, 1994, 1996, 1998]",P,Principal campaign committee,A,1990-09-04,1994-10-27,1997-07-15,SWIDER FOR PRESIDENT,,,,,FL,ROBERT LEWIS WIECK,,,,,,,,,,,,,,,,,,
58905,THE BUTTOLOGY PERSPECTIVE,['P60005931'],C00573543,P,Presidential,[2016],P,Principal campaign committee,T,2015-03-03,2015-03-03,2015-04-20,SYD BUTTOCKS COMMITTEE; THE,,,IND,INDEPENDENT,NY,GEORGE PAUL BORIA,,,,,,,,,,,,,,,,,,
58908,,['P60008679'],C00579607,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-06-18,2015-07-08,2018-04-26,TAMEIKA HAWKINS,,,DEM,DEMOCRATIC PARTY,NJ,TAMEIKA HAWKINS,,,,,,,,,,,,,,,,,,
58909,,['P20003158'],C00498824,P,Presidential,"[2012, 2014, 2016]",P,Principal campaign committee,A,2011-07-06,2012-01-31,2015-09-11,TAMI STAINFIELD FOR PRESIDENT,,,,,WV,TAMI L STAINFIELD,,,,,,,,,,,,,,,,,,
58910,,['P80003429'],C00431619,P,Presidential,"[2006, 2008, 2010]",P,Principal campaign committee,T,2007-01-22,2007-12-20,2010-05-05,TANCREDO FOR A SECURE AMERICA,,,REP,REPUBLICAN PARTY,VA,"DURHAM, STEVEN J.",,,,,,,,,,,,,,,,,,
58911,,['P20002226'],C00485607,P,Presidential,"[2010, 2012, 2014, 2016]",P,Principal campaign committee,A,2010-07-06,2010-07-06,2015-08-10,TANNER CLINE MCCUMBER BUSH POLITICAL CAMPAIGN FUND,,,,,CA,LAURA JANE MCCUMBER BUSH,,,,,,,,,,,,,,,,,,
58913,,['P60003902'],C00306597,P,Presidential,"[1996, 1998]",P,Principal campaign committee,A,1995-09-29,1995-09-29,1998-05-26,TATE FOR U S PRESIDENT,,,DEM,DEMOCRATIC PARTY,VA,MARK TATE,,,,,,,,,,,,,,,,,,
