,affiliated_committee_name,candidate_ids,committee_id,committee_type,committee_type_full,cycles,designation,designation_full,filing_frequency,first_file_date,last_f1_date,last_file_date,name,organization_type,organization_type_full,party,party_full,state,treasurer_name,active_through,candidate_id,candidate_inactive,candidate_status,district,district_number,election_districts,election_years,federal_funds_flag,has_raised_funds,inactive_election_years,incumbent_challenge,incumbent_challenge_full,last_f2_date,load_date,office,office_full,principal_committees
56791,,['P40000176'],C00159392,P,Presidential,"[1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000]",P,Principal campaign committee,A,1982-07-20,1987-12-24,1998-08-25,CRANSTON FOR PRESIDENT COMMITTEE INC,,,DEM,DEMOCRATIC PARTY,NY,WILLIAM M. LANDAU,,,,,,,,,,,,,,,,,,
56792,,['P80000821'],C00214163,P,Presidential,"[1986, 1988, 1990]",P,Principal campaign committee,T,1987-03-30,1988-01-11,1990-01-26,C R EVANS PRESIDENTIAL COMMITTEE,,,,,DC,CHARLES RAY EVANS,,,,,,,,,,,,,,,,,,
56794,,['P00000133'],C00442582,P,Presidential,"[2008, 2010, 2012, 2014]",P,Principal campaign committee,A,2007-12-26,2007-12-26,2014-01-10,CRUSADE TO ELECT EDISON P MCDANIELS PRES TO ENFORCE THE CONSTITUTION FOR WE THE PEOPLE,,,NNE,NONE,CA,EDISON PENROW MCDANIELS,,,,,,,,,,,,,,,,,,
56795,,['P00000133'],C00301168,P,Presidential,"[1996, 1998]",P,Principal campaign committee,A,1995-02-21,1995-02-21,1997-09-11,CRUSADE TO ELECT EDISON P MCDANIELS SR PRESIDENT,,,IND,INDEPENDENT,CA,EDISON P MCDANIELS SR,,,,,,,,,,,,,,,,,,
56797,,[],C00207951,P,Presidential,[1986],P,Principal campaign committee,A,1986-06-19,1986-06-19,1986-06-19,CULLEN MEYER FOR PRESIDENT,,,DEM,DEMOCRATIC PARTY,OH,ANTHONY A MEYER,,,,,,,,,,,,,,,,,,
56798,,['P00000992'],C00247254,P,Presidential,"[1990, 1992, 1994, 1996, 1998, 2000]",P,Principal campaign committee,A,1990-05-24,1990-05-24,2000-01-24,CULLEN MEYER FOR PRESIDENT,,,DEM,DEMOCRATIC PARTY,OH,KATRINA M MEYER,,,,,,,,,,,,,,,,,,
56799,,['P60021136'],C00620831,P,Presidential,[2016],P,Principal campaign committee,T,2016-06-24,2016-06-24,2016-08-03,CUMMINGS4PRESIDENT,,,OTH,OTHER,WY,DANIEL CLYDE CUMMINGS,,,,,,,,,,,,,,,,,,
56800,,['P00001008'],C00248880,P,Presidential,"[1990, 1992]",P,Principal campaign committee,T,1990-10-10,1991-09-13,1993-04-02,CURLY FOR PRESIDENT,,,UNK,UNKNOWN,MT,MARGOT KOHL,,,,,,,,,,,,,,,,,,
56801,,['P80005085'],C00442004,P,Presidential,[2008],P,Principal campaign committee,T,2007-12-04,2007-12-28,2008-11-26,CURRY FOR AMERICA,,,REP,REPUBLICAN PARTY,OH,KERRY LYNN NIETZ,,,,,,,,,,,,,,,,,,
56807,,['P60005501'],C00569400,P,Presidential,"[2014, 2016]",P,Principal campaign committee,T,2014-10-08,2014-10-08,2016-02-11,DALE CHRISTENSEN 2016,,,,,MO,DALE CHRISTENSEN,,,,,,,,,,,,,,,,,,
56808,,['P80005101'],C00442129,P,Presidential,"[2008, 2010, 2012, 2014]",A,Authorized by a candidate,A,2007-12-10,2011-11-10,2014-01-10,DALE HOINOSKI FOR PRESIDENT 2012,,,IND,INDEPENDENT,MO,ERICA L DAVIS,,,,,,,,,,,,,,,,,,
56814,,['P00004077'],C00349076,P,Presidential,"[2000, 2002]",P,Principal campaign committee,A,1999-09-23,1999-09-23,2001-10-26,DANIEL JOSEPH PEARLMAN FOR PRESIDENT FOUNDATION,,,,,NM,DANIEL JOSEPH PEARLMAN,,,,,,,,,,,,,,,,,,
56815,,['P60003423'],C00302406,P,Presidential,[1996],P,Principal campaign committee,T,1995-04-18,1995-04-18,1996-04-12,DANIELS COMMITTEE TO ELECT A LIBERAL DEMOCRAT,,,DEM,DEMOCRATIC PARTY,ZZ,BRUCE C DANIELS,,,,,,,,,,,,,,,,,,
